country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg,update_hour,update_day_of_week,pollutant_range,air_quality_category
India,Odisha,Byasanagar,"Ferro Chrome Colony, Byasanagar - OSPCB",2026-07-06 10:00:00,20.94185,86.1151,NO2,6.0,16.0,8.0,10,Monday,10.0,Good/Satisfactory
India,Odisha,Byasanagar,"Ferro Chrome Colony, Byasanagar - OSPCB",2026-07-06 10:00:00,20.94185,86.1151,NH3,0.0,1.0,1.0,10,Monday,1.0,Good/Satisfactory
India,Odisha,Byasanagar,"Ferro Chrome Colony, Byasanagar - OSPCB",2026-07-06 10:00:00,20.94185,86.1151,CO,27.0,68.0,46.0,10,Monday,41.0,Good/Satisfactory
India,Odisha,Cuttack,"CDA Area, Cuttack - OSPCB",2026-07-06 10:00:00,20.48891,85.84768,PM2.5,15.0,35.0,25.0,10,Monday,20.0,Good/Satisfactory
India,Odisha,Cuttack,"CDA Area, Cuttack - OSPCB",2026-07-06 10:00:00,20.48891,85.84768,PM10,13.0,59.0,35.0,10,Monday,46.0,Good/Satisfactory
India,Odisha,Keonjhar,"Jagamohanpur, Keonjhar - OSPCB",2026-07-06 10:00:00,21.6439,85.599355,PM10,21.0,29.0,24.0,10,Monday,8.0,Good/Satisfactory
India,Odisha,Rourkela,"Raghunathpali, Rourkela - OSPCB",2026-07-06 10:00:00,22.220833,84.809444,PM10,14.0,49.0,31.0,10,Monday,35.0,Good/Satisfactory
India,Odisha,Rourkela,"Raghunathpali, Rourkela - OSPCB",2026-07-06 10:00:00,22.220833,84.809444,CO,22.0,60.0,42.0,10,Monday,38.0,Good/Satisfactory
India,Odisha,Rourkela,"Sector-2, Rourkela - OSPCB",2026-07-06 10:00:00,22.245,84.88111111,PM2.5,34.0,55.0,44.0,10,Monday,21.0,Moderate
India,Odisha,Rourkela,"Sector-2, Rourkela - OSPCB",2026-07-06 10:00:00,22.245,84.88111111,OZONE,17.0,21.0,18.5,10,Monday,4.0,Good/Satisfactory
India,Odisha,Suakati,"OMC Colony, Suakati - OSPCB",2026-07-06 10:00:00,21.606865,85.510538,NO2,17.0,18.0,18.0,10,Monday,1.0,Good/Satisfactory
India,Odisha,Suakati,"OMC Colony, Suakati - OSPCB",2026-07-06 10:00:00,21.606865,85.510538,NH3,3.0,3.0,3.0,10,Monday,0.0,Good/Satisfactory
India,Odisha,Suakati,"OMC Colony, Suakati - OSPCB",2026-07-06 10:00:00,21.606865,85.510538,OZONE,12.0,21.0,17.0,10,Monday,9.0,Good/Satisfactory
